,tweet,username,palavra_chave,classificação
38,"✅L!R: O HEXA VEM? ✅   Comitiva da Seleção Brasileira está no Catar preparando-se para o mundial do ano que vem e Germán Cano pode pintar no rival!   Veja isso e mais no LANCE! Rápido, edição das 18h  https://t.co/4axbknHGqE",lancenet,catar,
28,Torcedor senegalês imita Richarlison e faz 'Dança do Pombo' no Qatar; veja #FIFAWorldCup #Qatar2022  https://t.co/x2Cuj8pCzw,uolesporte,qatar,
104,O ranking dos times brasileiros mais conhecidos por torcedores das 32 seleções no Qatar! Teve gigante esquecido...  👉  https://t.co/PaBNChKgZd   #FutebolNaESPN #ESPNnoQatar  https://t.co/OdJq0QNqOJ,espnbrasil,qatar,
171,TEMPO REAL!   País de Gales x Irã AO VIVO: Siga TUDO da Copa do Mundo no Qatar em TEMPO REAL   #FutebolNaESPN #ESPNnoQatar   https://t.co/UkvqbwxXfR,espnbrasil,qatar,
26,"Os ""Três Figuras"" e nosso enviado especial para a Copa, Diego Floriano, em uma resenha sensacional no Qatar! Confere o vídeo que tá bom demais!  https://t.co/INU4q9vbrL",lancenet,qatar,
53,"DISPUTA NA F1! 👀🔥🏁🇶🇦  Em meio à guerra, Mercedes e Red Bull encaram falhas em dia inconclusivo no Catar #lancenet   https://t.co/Ew0laObScb  https://t.co/EudpstVHjC",lancenet,catar,
76,"Gato, cachorro e até tapioca: mascote da Copa ganha versões fofas; veja #FIFAWorldCup #Qatar2022  https://t.co/C4yyCutMhN",uolesporte,catar,
287,"Em 2ª Copa, Mbappé tem média parecida a de Ronaldo e mira recorde de Klose #FIFAWorldCup #Qatar2022  https://t.co/Jz3V2yFw3X",uolesporte,catar,
160,GOOOOOOOOOOOOOOOOOOOL DO QATAR! Muntari diminui!  Qatar 1 x 2 Senegal #ESPNnoQatar  https://t.co/iwe59w1Z6k,espnbrasil,qatar,
69,Por essa os alemães não esperavam...  Quando o 'inimigo' mora em casa: sabia que todos os gols do Japão na Copa vieram da Alemanha?  #FutebolNaESPN #ESPNnoQatar    https://t.co/MzFrDUuO1m,espnbrasil,copa,
75,CORTOU!📱💻🚫🏁🏍  Miller se afasta das redes sociais por saúde mental após decepção no Catar #lancenet  https://t.co/H290vx8Mk4  https://t.co/ZTjhngFcSa,lancenet,catar,
160,Copa do Qatar tem protesto político liberado com repressão só a LGBTQIA  #FIFAWorldCup #Qatar2022  https://t.co/FwPmB7zLMF,uolesporte,qatar,
37,Fifa discute fazer Mundial de Clubes com Flamengo no Qatar  https://t.co/YcKaxn8inq,uolesporte,qatar,
201,O CAOS!  Sósia de Cristiano Ronaldo rouba a cena em meio a confusão entre torcidas de Bélgica e Canadá no Qatar; VEJA  #ESPNnoQatar #SCBrasil #ESPNnoStarPlus   https://t.co/KjaADj7nHE,espnbrasil,qatar,
169,"BRUNO, O FERNANDES 😎🇵🇹  O homem tem 2 assistências e 2 gols em 2 jogos na Copa até. TÁ BOM OU QUER MAIS?  #UOLNaCopa2022  https://t.co/atizRk75cS",uolesporte,catar,
92,"⚽️🏆 | Em suas redes sociais, Neymar rasgou elogios ao volante da Seleção Brasileira... E aí, concorda? 🗣🗣🗣  Baita Copa do camisa 5 até aqui! 💪💪💪  #lanceCOPA #CopaDoMundoFIFA #Qatar2022 #BRA  https://t.co/OtoeFepBns",lancenet,copa,
22,"Destaque na vitória da Seleção Brasileira por 1 a 0 diante da Suíça, Vini Jr teve seu nome envolvido num possível relacionamento com a influenciadora Julia Rodrigues. Para aumentar os boatos, a modelo postou algumas fotos no Estádio 974, no Qatar, onde acompanhou a partida.  https://t.co/RgHfxly7rW",lancenet,qatar,
9,IH!  Galvão recebe prêmio no Qatar e Cléber Machado reclama: 'Podiam mandar pra mim também'.  📲 Entenda:  https://t.co/QTZhSqAGxA  https://t.co/IpQZOeARGs,lancenet,qatar,
110,"MELHOR JOGO DA COPA? 🤔⚽🏆  Se liga nos números do empate entre Espanha e Alemanha de hoje. Quem merecia ter saído com a vitória, torcedor? 🇪🇸x🇩🇪  #espanha #alemanha #copadomundo #worldcup #MostraTuaForça  https://t.co/UcTFPcOPQQ",lancenet,copa,
207,"Xodó de Guardiola no City ignora o Brasil, diz que ninguém joga como a Espanha na Copa e cita único rival que se aproxima  #ESPNnoQatar   https://t.co/lGRt3ZQ4e5",espnbrasil,copa,
68,Goleiro de Camarões se pronuncia após corte da Copa do Mundo: 'Difícil de assimilar'  📲 https://t.co/EoJSwYO4Xg  📷EFE / EPA / Abir Sultan  https://t.co/auROEp5b1V,lancenet,copa,
351,Marcel Rizzo: 2022 não é 2014: o Brasil vai sobreviver sem Neymar na Copa do Qatar  https://t.co/7Prce5jfhQ,uolesporte,catar,
83,"Lesões de tornozelo unem Neymar, Messi e Mbappé na Copa do Mundo #FIFAWorldCup #Qatar2022  https://t.co/6Alw4rSs8f",uolesporte,catar,
267,Fifa abre expediente disciplinar contra Equador por cânticos ofensivos de torcedores na abertura da Copa  📲 https://t.co/ZiKarL4S5U  📷KIRILL KUDRYAVTSEV / AFP  https://t.co/V4dXS4tpes,lancenet,copa,
35,Guardiola despista sobre seleção brasileira após Copa do Catar: 'Brasil tem técnicos brasileiros muito bons'   https://t.co/h6mEPxpwDa  https://t.co/dsAI9YrlH1,lancenet,catar,
46,Eles não são mais tão perigosos?  A maldição que assombra Alemanha após título da Copa do Mundo do Brasil e que pode atrapalhar em 'final' no Qatar  #FutebolNaESPN #ESPNnoQatar  https://t.co/isGmLTnKkG,espnbrasil,qatar,
196,"Dani Olmo, da Espanha, fala sobre possível duelo com Brasil na Copa  ''Tem que vencer os melhores times do mundo aconteça o que acontecer. Vamos enfrentar como sempre fizemos, com a mesma mentalidade e com a mesma ideia'' #genacopa  https://t.co/AqdAW0hbBJ",geglobo,copa,
110,"Qatar se prepara 12 anos, mas cai em 6 dias e é pior anfitrião da história #FIFAWorldCup #Qatar2022  https://t.co/rj8LglVyty",uolesporte,qatar,
48,"FENÔMENO!  Conheça Diogo Defante, o fenômeno da Copa do Mundo.  Confira:  https://t.co/ROZau9brLW  https://t.co/HgtmDe2Tbd",lancenet,copa,
206,"FIM DE JOGO!  Possivelmente um dos piores jogos da Copa até então, com todo respeito!  🇺🇾 URU 0x0 KOR 🇰🇷 | 2T  #WorldcupQatar2022 #Qatar2022 #lanceCOPA",lancenet,copa,
326,"Valeu a pena acordar cedo para assistir Copa do Mundo, né?  #genacopa  https://t.co/FikTY0uhBP",geglobo,copa,
118,'Vovôs' da Bélgica na Copa do Mundo já sofreram contra o Palmeiras: 'Eu sempre comprava os caras na Master League'    https://t.co/kqGS17BYNn   #FutebolNaESPN #ESPNnoQatar,espnbrasil,copa,
90,Gretchen rebate críticas: 'Não quebrei nenhuma lei do Qatar' #FIFAWorldCup #Qatar2022  https://t.co/5qpaErxWi2,uolesporte,qatar,
434,Argentina vence México em ‘jogo da vida’ na Copa com show de Messi. “Hermanos” vão jogar ‘mais soltos’ a partir de agora?  Assista ao F360 AO VIVO pela #ESPNnoStarPlus!  Saiba mais:  https://t.co/scTCNUCkZC  #F360BR  https://t.co/DFR5OBqYr4,espnbrasil,copa,
227,"Durante a live “Os Três Figuras”, foi levantado o assunto sobre o Grupo E da Copa do Mundo. Quais serão as seleções classificadas para a próxima fase da competição?  ⚽🇪🇸🇯🇵🇩🇪🇨🇷  #MostraTuaForça #Lancecopa #brasil  https://t.co/LfKwwX35O3",lancenet,copa,
258,"É a Copa dos gols anulados, surreal.   📷Ina Fassbender / AFP  https://t.co/n21FsQKZfS",lancenet,copa,
189,"Colocando força total em campo!  Precisando do empate, Bélgica promove a estreia de Lukaku na Copa do Mundo #genacopa  https://t.co/PYjJw6cH2v",geglobo,copa,
25,FIM DE JOGO!  A Austrália vence a Dinamarca por 1x0 e se classifica para as oitavas de final da Copa do Mundo.  AUS 🇦🇺 1 x 0 🇩🇰 DIN   #WorldCup #lanceCOPA #DIN #AUS #copadomundo  https://t.co/YfJ8YC0amg,lancenet,copa,
291,Benzema recuperado de forma 'milagrosa' e pronto para voltar à Copa? Técnico da França é direto sobre possibilidade    https://t.co/Gpw2mz6F5y   #FutebolNaESPN #ESPNnoQatar #ESPNnoStarPlus,espnbrasil,copa,
212,Geração de ouro pode mostrar na Copa se é a cura da Neymardependência #FIFAWorldCup #Qatar2022  https://t.co/Ba54pt952N,uolesporte,catar,
71,Domino's se solidariza com Gilberto Gil após ataques de franqueado no Qatar #FIFAWorldCup #Qatar2022  https://t.co/6wixhJkcP8,uolesporte,qatar,
29,Vish... a coisa ficou seria no Qatar! 📽:@realfutebolnews #Copadomundo #Lancecopa  https://t.co/j2ugzQZtQK,lancenet,qatar,
50,🏁👀  Hamilton impõe derrota a Verstappen e conquista pole do GP do Catar de F1 #lancenet   https://t.co/9a67t3nQYM  https://t.co/EgPRXDtjZP,lancenet,catar,
88,"O influencer Casimiro renovou o recorde de views em uma transmissão ao vivo no YouTube Brasil. No jogo da Copa do Mundo entre Brasil e Suíça, nesta segunda, o número de usuários reproduzindo a live chegou a 4,35 milhões ainda no 1° tempo. No 2°, a audiência foi a 4,86 milhões.  https://t.co/4UPgJaqcSX",lancenet,copa,
287,"O Lewandowski ainda continua na saga de marcar seu primeiro golzinho em Copa do Mundo. Não foi dessa vez, por enquanto! 🇵🇱  #lewandowski #polonia #mexico #copadomundo  https://t.co/TCcOLIRe7F",lancenet,copa,
251,Como é a tecnologia do impedimento que foi utilizada pela 1ª vez na Copa do Mundo e anulou gol em Qatar x Equador   #FutebolNaESPN #ESPNnoQatar    https://t.co/DXDn3vbZB4,espnbrasil,qatar,
12,Muller desabafa após eliminação da Alemanha na Copa: 'desastre absoluto' #FIFAWorldCup #Qatar2022  https://t.co/wDipGr5z7G,uolesporte,catar,
50,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/HWIChr6XtE,geglobo,catar,
85,"Dois anos sem Maradona: dez fotos que provam como o ídolo argentino está presente no Catar  Gênio sobrevive em tatuagens, faixas, bandeiras e homenagens  https://t.co/cWKx2EQf1q",geglobo,catar,
186,A casa da Inglaterra no Qatar! @j_castelobranco mostra bastidores do CT da seleção inglesa  #ESPNnoQatar #FutebolNaESPN   https://t.co/bAVMNfS8dR,espnbrasil,qatar,
57,"Craques sobrevivem: Copa terá Messi, CR7, Mbappé, Neymar e Lewa nas oitavas #FIFAWorldCup #Qatar2022  https://t.co/dWtBUeMPdS",uolesporte,catar,
193,"Milton Neves: Coreia do Sul 2 x 3 Gana: a Copa, enfim, pegou no breu!  https://t.co/mDsx8anx4F",uolesporte,catar,
205,'Baixinhos' x Grandalhões: como os centímetros podem definir a 'final' Polônia x Argentina na Copa  #ESPNnoQatar #FutebolNaESPN   https://t.co/OQm2J3Rg41,espnbrasil,copa,
486,"Fã do esporte, recado do @rnato_rodrigues - análise de todos os jogos da primeira fase da Copa amanhã, 13h, no Star Plus   Veja aqui 👉  https://t.co/TZKIFVBtvG  https://t.co/LoaiUWsbrf",espnbrasil,copa,
97,"Guillermo Varela, do Flamengo, entra em campo pelo Uruguai 🇺🇾 e é o primeiro jogador que joga no Campeonato Brasileiro 🇧🇷 a atuar na Copa do Mundo do Catar #genacopa  https://t.co/aBb99avTS7",geglobo,catar,
105,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/NolxZIePyI,geglobo,catar,
