,tweet,username,palavra_chave,classificação
188,Brasil fará o mesmo? França poupa e muda 'quase tudo' para jogo contra a Tunísia na Copa; veja trocas   #ESPNnoQatar #FutebolNaESPN #ESPNnoStarPlus     https://t.co/sWD1c7jllA,espnbrasil,copa,
237,E é claro que o brasileiro não esquece da Copa do Mundo de 2018 👀  #UOLNaCopa2022  https://t.co/Diw7q7C8Qw,uolesporte,catar,
1,Quantos jogadores que atuam no Brasil teremos no Catar? 👀  Assista à convocação da seleção brasileira rumo ao Qatar AO VIVO pela #ESPNnoStarPlus!   Acesse:  https://t.co/TZKIFVT4ne  #FutebolNaESPN #ESPNnoQatar  https://t.co/5ydd1GGoG1,espnbrasil,catar,
222,"No grupo da França, Dinamarca e Tunísia empatam, e Copa do Mundo do Qatar tem primeiro 0 a 0    #FutebolNaESPN #ESPNnoQatar   https://t.co/YhemCRsI1Y",espnbrasil,qatar,
134,"Veja quem são os artilheiros da Copa do mundo, até o momento.  #MostraTuaForça #Lancecopa  https://t.co/jZbDuNt8en",lancenet,copa,
277,QUE FESTA DA TORCIDA DO QATAR 🔥🔥🔥  #FutebolNaESPN #ESPNnoQatar  https://t.co/5ZohVbO0J5,espnbrasil,qatar,
246,O 'torneio à parte' que Argentina disputa no meio da Copa do Qatar e vale prêmio de quase R$ 20 mil   #FutebolNaESPN #ESPNnoQatar    https://t.co/Hj1AielMQq,espnbrasil,qatar,
78,"📢Sextou com #ResenhaESPN! Amanhã, às 19h30, @plihalespn e convidados estarão juntos para repercutir todos os últimos acontecimentos da Copa do Mundo. FIQUE LIGADO!  Assista AO VIVO pela #ESPNnoStarPlus! Acesse:  https://t.co/yJbSbCT8RH  #ESPNnoQatar  https://t.co/7LTjWca1lX",espnbrasil,copa,
71,Invadiu a área e bateu bonito: VEJA como Holanda abriu caminho para vitória tranquila contra o Qatar  #FutebolNaESPN #ESPNnoQatar   https://t.co/aqxc8z9TU1,espnbrasil,qatar,
252,Copa do Mundo 2022 hoje: veja os jogos e horários deste domingo (27/11) #FIFAWorldCup #Qatar2022  https://t.co/S1p047MEKq,uolesporte,catar,
233,🇨🇦 É o primeiro gol da história do Canadá em Copa do Mundo!  #UOLNaCopa2022  https://t.co/lE6LAjhYyw,uolesporte,catar,
119,"Tite cita Scarpa, do Palmeiras, para defender Daniel Alves de críticas na Copa do Mundo  #ESPNnoQatar #FutebolNaESPN   https://t.co/VmZes120Gj",espnbrasil,copa,
139,"No blog do Paulo Cobos  Desde os 16, Vinícius Jr suportou críticas injustas e várias ironias canalhas. Apanhou, sofreu ofensas racistas. Respondeu jogando bola e com profissionalismo. Seja no Cariocão como na Copa do Mundo  #ESPNnoQatar    https://t.co/t8pwvIeoA6  https://t.co/RijrbYHWgW",espnbrasil,copa,
109,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/QzhxWNh7b1,geglobo,catar,
57,"XERIFES DO QATAR!  Casemiro, Kimmich, Rodri? Veja quem são os cinco melhores 'camisa 5' da atualidade  #ESPNnoQatar #ESPNnoStarPlus    https://t.co/iDrnDBs1sz",espnbrasil,qatar,
249,"Após lesão, titular da França irá voltar à Europa e seleção seguirá na Copa do Mundo com 24 jogadores  https://t.co/ZgP9NVpagJ",lancenet,copa,
124,Estrela diz que fará programa nua por 24 horas se Inglaterra vencer a Copa #FIFAWorldCup #Qatar2022  https://t.co/OT8StzUVsN,uolesporte,catar,
0,Comunicado sobre Exibições Públicas da Copa do Mundo da FIFA Qatar 2022™ no Brasil  Conheça as regras para exibições públicas dos jogos do Mundial 2022   https://t.co/ypYRd3amma,geglobo,qatar,
187,Solta o ❤ aí quem quer ver o Eriksen nas oitavas da Copa! Pra isso a Dinamarca precisa VENCER a Austrália logo mais! 🇦🇺 x 🇩🇰 #ESPNnoQatar  https://t.co/QApDN9JotC,espnbrasil,copa,
23,Há quanto tempo um jogador que era do seu time do coração não marca em uma Copa do Mundo? 🤔🇧🇷  📲 Se liga:  https://t.co/6SoNMuyqGW  https://t.co/baLwTJNXtY,lancenet,copa,
322,"BRASIL CLASSIFICADO! Assim ficou o Grupo G da Copa, após a vitória da seleção sobre a Suíça!  #ESPNnoQatar  https://t.co/quspcqw6q2",espnbrasil,copa,
300,Australianos vão à loucura com 1ª vitória em Copa após 12 anos; veja #FIFAWorldCup #Qatar2022  https://t.co/aDkZCenjlu,uolesporte,catar,
271,"O 1º GOL DA COPA DO MUNDO!  Enner Valencia sofre pênalti, cobra com perfeição e abre o placar em Qatar x Equador   #ESPNNoQatar #FutebolNaESPN     https://t.co/61Ay9fGzqu",espnbrasil,qatar,
347,Lenda da Alemanha surpreende e diz qual jogador da Copa será o 'Messi do futuro'    #FutebolNaESPN #ESPNnoQatar    https://t.co/8jjEkNmkNj,espnbrasil,copa,
219,Brasil vence sem Neymar? Uruguai reage? Os palpites dos colunistas na Copa #FIFAWorldCup #Qatar2022  https://t.co/gHJ9tjWcRi,uolesporte,catar,
216,Meia da Argentina escreveu carta a Messi seis anos antes de jogar a Copa #FIFAWorldCup #Qatar2022  https://t.co/7SWa4eptz1,uolesporte,catar,
56,Sensação da Holanda na Copa do Mundo do Qatar encanta Van Gaal: 'Tem tudo para se tornar uma estrela'   #ESPNnoQatar #FutebolNaESPN #ESPNnoStarPlus     https://t.co/dBRkhXpgjK,espnbrasil,qatar,
93,"É INVASÃO BRASILEIRA NO CATAR!  É CLIMA DE HEXAAAAAAAAAA! BORA, BRASIIIIIIIIIIIIIIL 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷  #genacopa  https://t.co/vQiGJtA5ed",geglobo,catar,
63,Cody Gakpo segue jogando muito. Marcou em todas as partidas da Holanda na Copa do Mundo até agora.  #lanceCOPA #CopaDoMundoFIFA #Qatar2022  📷EFE / EPA/ Tolga Bozoglu  https://t.co/h7gJwUdzqf,lancenet,copa,
34,"James Rodríguez surpreende, detona ex-treinador e revela onde quer jogar após período no Catar  #FutebolNaESPN   https://t.co/1jGBhCbBkd",espnbrasil,catar,
63,REFORMULAÇÃO! 🏁👀  Circuito de Austin recebe reformas e Catar redesenha entrada dos boxes para receber F1 #lancenet   https://t.co/4gDjmdkPVj  https://t.co/tfzyk7h4Zo,lancenet,catar,
66,Times ESCALADOS!  País de Gales x Inglaterra AO VIVO: Siga TUDO da Copa do Mundo do Qatar #ESPNnoQatar    https://t.co/UvkPYBhdfI,espnbrasil,qatar,
166,SERÁ?  Ex-jogador da Seleção diz que Neymar e Danilo podem não jogar mais a Copa  &gt;&gt;  https://t.co/dIc4LH94Sk  📷 GIUSEPPE CACACE/AFP  https://t.co/99Dcb4Djs3,lancenet,copa,
230,O caos chegou no Qatar! 😂😂🇧🇷🇧🇷  Via Movimento Verde Amarelo  #ESPNnoQatar  https://t.co/MAgjvVlSP6,espnbrasil,qatar,
232,"Fora da fase de grupos da Copa com problema no tornozelo direito, Neymar não sofria uma lesão séria desde novembro de 2021.  Na atual temporada, o camisa 10 do Brasil participou de 20 dos 22 jogos do PSG. Só foi desfalque quando precisou cumprir suspensão automática #genacopa  https://t.co/AMRavuOh2u",geglobo,copa,
305,CALCULADORA NA MÃO  Quem vai às oitavas da Copa do Mundo? Veja as contas do que cada seleção precisa na última rodada   #FutebolNaESPN #ESPNnoQatar    https://t.co/8wlzY4mIE5,espnbrasil,copa,
445,Suíça vence Camarões com gol especial em 1º jogo do grupo do Brasil na Copa #FIFAWorldCup #Qatar2022  https://t.co/ShWAH3hTIP,uolesporte,catar,
363,Técnico do Qatar troca goleiro titular após falhas na estreia da Copa #FIFAWorldCup #Qatar2022  https://t.co/eMCYtiUaqA,uolesporte,catar,
31,"""UMA AULA DE HISTÓRIA AOS BRASILEIROS""  Por que uruguaios estão cantando no Qatar que são tetracampeões do mundo mesmo com só duas Copas ⭐️ ⭐️ ⭐️ ⭐️    https://t.co/vRpWX0apGq   #FutebolNaESPN #ESPNnoQatar #ESPNnoStarPlus",espnbrasil,qatar,
287,"O Lewandowski ainda continua na saga de marcar seu primeiro golzinho em Copa do Mundo. Não foi dessa vez, por enquanto! 🇵🇱  #lewandowski #polonia #mexico #copadomundo  https://t.co/TCcOLIRe7F",lancenet,copa,
19,Mulher de Marquinhos diz se sentir mal com 'olhares diferentes' no Qatar #FIFAWorldCup #Qatar2022  https://t.co/WYf32tGVm6,uolesporte,qatar,
118,Atlético-MG celebra título da Copa d o Brasil de 2014 em cima do Cruzeiro  https://t.co/fYkiuObYmd,lancenet,copa,
8,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/eBostzCq3a,geglobo,catar,
134,O ranking dos times brasileiros mais conhecidos por torcedores das 32 seleções no Qatar! Teve gigante esquecido...   VEJA AQUI 👉  https://t.co/PaBNChJJ9F  https://t.co/DWcyWNjMhp,espnbrasil,qatar,
83,CHEGOU A HORA!  Holanda x Qatar AO VIVO: Siga TUDO da Copa do Mundo em TEMPO REAL   #ESPNnoQatar #FutebolNaESPN    https://t.co/RziTIcRaI0,espnbrasil,qatar,
55,"NÃO, NÃO É REPLAY! A zebra segue passeando no Qatar. Dessa vez, o Japão derrotou a Alemanha, por 2 a 1. Foi a primeira vitória japonesa de virada na história das Copas. Complicou para os alemães, hein?!  https://t.co/GSXqB19QYd",lancenet,qatar,
149,"Mascote da seleção brasileira, Canarinho dá 'rolé' pelo Qatar, faz embaixadinhas e agita torcedores; VEJA  #FutebolNaESPN #ESPNnoQatar   https://t.co/8vZiXcqBvD",espnbrasil,qatar,
43,"SENTIU! 🇫🇷  🚨 Na véspera da partida contra a Tunísia, a condição do atacante gera dúvida a respeito de sua participação no último jogo do Grupo D da Copa do Mundo.  #mbappé #frança #copadomundo #worldcup #qatar2022  https://t.co/EOTRkMRjTC",lancenet,copa,
8,"Palmeiras recusa oferta milionária do Catar por Rony e Paulinho, atualmente na Alemanha, é cobiçado por clubes brasileiros.  Assista ao F360 AO VIVO pela #ESPNnoStarPlus!  Saiba mais:  https://t.co/scTCNUTVRa  #F360BR  https://t.co/x2Kg4mf9Gx",espnbrasil,catar,
428,Manchester United ignora Cristiano Ronaldo e deseja sorte à dupla na Copa #FIFAWorldCup #Qatar2022  https://t.co/ZCyX2QUa2x,uolesporte,catar,
31,"Bate na madeira aí, Lino! Coração do brasileiro não aguenta ver a Seleção tomando gols, não 😅 #genacopa  📹: O Seleção Catar vai ao ar às 20h, no @sportv. Assista!  https://t.co/SMZBdPFavX",geglobo,catar,
5,Brasileiros cantam muito e fazem festa absurda no metrô do Qatar antes de duelo contra Camarões; VEJA   #FutebolNaESPN #ESPNnoQatar   https://t.co/2DGmM6nD4h,espnbrasil,qatar,
75,"Vergonha, desastre e mais: como imprensa mundial reagiu à nova eliminação da Alemanha na fase de grupos da Copa  #ESPNnoQatar #ESPNnoStarPlus    https://t.co/TE07ioukrj",espnbrasil,copa,
239,"Lateral retorna aos treinos, e Portugal não deve ter desfalques para estreia na Copa  https://t.co/OKDOrwTCtS",lancenet,copa,
95,VAI ÀS COMPRAS?  Jornal revela lista estrelada do United com seis nomes de Copa do Mundo para investir após saída de Cristiano Ronaldo; veja    #FutebolNaESPN #PremierLeagueNaESPN #ESPNnoStarPlus      https://t.co/vsjETvIof8,espnbrasil,copa,
0,PALESTINA NA COPA?🇵🇸  Manifestações chamam a atenção no Mundial do Qatar  📲 https://t.co/MO6kWAvlPe  📷EFE / EPA / Tolga Bozoglu  https://t.co/KKXJhzJToo,lancenet,qatar,
321,Muito bom ver Eriksen em campo pela Dinamarca durante a Copa do Mundo!  #genacopa  https://t.co/bNzTeWgGzp,geglobo,copa,
133,'Até hoje não sei como ele não teve muita chance no Real Madrid': conheça o craque do PSG que emocionou na cena mais bonita da Copa até agora  #ESPNnoQatar #FutebolNaESPN   https://t.co/6bsw5Bvs92,espnbrasil,copa,
463,Casemiro conta bastidores da ausência de Neymar e revela por que defesa do Brasil tem 'pena' dos rivais na Copa  #ESPNNoQatar #FutebolNaESPN   https://t.co/MflNCA3uUr,espnbrasil,copa,
31,"VAI VOLTAR! Alex Evangelista, ex-fisioterapeuta da Seleção Brasileira, explica lesão de Neymar e diz que craque voltará a atuar na Copa do Mundo do Qatar. BORA, NEY!  https://t.co/Add90U1Zwr",lancenet,qatar,
489,Austrália conta com o ‘paredão’ Mathew Ryan para sobreviver na Copa do Mundo! Veja defesas do goleiro australiano   #ESPNnoQatar #FutebolNaESPN   https://t.co/PXZsNghhPn,espnbrasil,copa,
182,"Perfil ESPN: Artilheiro da Sérvia, Mitrovic promete 'infernizar' o Brasil no Qatar  #ESPNnoQatar #FutebolNaESPN   https://t.co/tdjKKheWKb",espnbrasil,qatar,
174,'Acabou isso no futebol': Zinho vê mudança de postura na seleção e quem ganhou posição no Qatar; VEJA  #ESPNnoQatar #ESPNnoStarPlus #SCBrasil   https://t.co/W06HV1atY1,espnbrasil,qatar,
229,🎙 CORRESPONDENTES PREMIER (no Qatar) 🎙  Episódio #253: ONE LOVE   🎧  https://t.co/5Bv215AVz9  @CorrespoPremier  https://t.co/wdr2G9QPyx,espnbrasil,qatar,
283,CHANTAGEADA! 🇩🇪🏳️‍🌈  Alemanha diz ter sido 'chantageada' pela Fifa contra uso de braçadeira LGBT na Copa.  📲 Confira:  https://t.co/gScwyqdNpP  https://t.co/fzWqV5h6yv,lancenet,copa,
104,O ranking dos times brasileiros mais conhecidos por torcedores das 32 seleções no Qatar! Teve gigante esquecido...  👉  https://t.co/PaBNChKgZd   #FutebolNaESPN #ESPNnoQatar  https://t.co/OdJq0QNqOJ,espnbrasil,qatar,
261,"Copa 2022: Refugiado de guerra, australiano chora no banco e explica motivo #FIFAWorldCup #Qatar2022  https://t.co/o0up9Zxzj9",uolesporte,catar,
70,FOI EMOÇÃO ATÉ O FIM! 🇳🇱 🇸🇳 Holanda e Senegal avançaram às oitavas de final da Copa pelo Grupo A! Equador e Qatar se despedem do Mundial logo na primeira fase...  #ESPNnoQatar  https://t.co/2yzW9Ui4ut,espnbrasil,qatar,
263,MAIS UM 0 A 0! 🇲🇦🇭🇷⚔️  Marrocos e Croácia não saem do 0 na abertura do grupo F na Copa do Mundo  📲 Veja:  https://t.co/8CCDu43jrD  https://t.co/Z1SCln4kSR,lancenet,copa,
235,Integrantes da FlaQatar vão à estreia do Brasil na Copa e mandam recado ao Real Madrid  https://t.co/kBMSv5exc0,geglobo,copa,
165,"Um dos artilheiros da Copa com três gols, Enner Valencia tem torção no joelho direito e é dúvida para Equador 🇪🇨 x 🇸🇳 Senegal  No Grupo A, Equador precisa apenas de um empate para confirmar a classificação ao mata-mata #genacopa  https://t.co/m3S9oFkBoF",geglobo,copa,
72,"CONFIRA! ⚽️🇧🇷🇶🇦  Há 14 anos no Catar, preparador físico brasileiro comenta sobre evolução do futebol no país #lancenet   https://t.co/968tcw9gPi  https://t.co/WtN1jepTkW",lancenet,catar,
12,O CRAQUE DA LARANJA MECÂNICA! 🇳🇱🦁  Davy Klaassen foi eleito o craque do jogo na partida entre Qatar e Holanda.  #holanda #klaassen #copadomundo #qatar2022 #MostraTuaForça  https://t.co/Z2P0EE8deE,lancenet,qatar,
474,Richarlison prova que nada se compara a uma Copa do Mundo  Veja no blog @maquinaesporte  #ESPNnoQatar   https://t.co/yXvPwqz6MS,espnbrasil,copa,
95,Gol de Cristiano Ronaldo! ⚽   Siga TUDO da Copa do Mundo no Qatar em TEMPO REAL!  #FutebolNaESPN #ESPNnoQatar  https://t.co/sTtmob9Q39,espnbrasil,qatar,
341,Torcida de Camarões canta e dança muito em festa depois do empate contra a Sérvia na Copa do Mundo  #FutebolNaESPN #ESPNnoQatar   https://t.co/pgyp8mjo77,espnbrasil,copa,
107,Casão: Sou contra a seleção brasileira não ter um psicólogo na Copa #FIFAWorldCup #Qatar2022  https://t.co/9D8C9Zn2de,uolesporte,catar,
97,Apagão em jogo de Copa do Mundo ngm reclama né? Agora se fosse no Raulino de Oliveira todo mundo iria falar! 🤷‍♂️,lancenet,copa,
136,"A Fifa puniu a Federação Alemã de Futebol com uma multa de em 10 mil euros e uma advertência pelo descumprimento do regulamento da Copa  No último sábado, nenhum jogador da Alemanha compareceu à entrevista coletiva obrigatória no centro de imprensa #genacopa  https://t.co/VsFd1h1Fe3",geglobo,copa,
49,Rodrigo Coutinho: Até na reação o México foi uma decepção nesta Copa  https://t.co/AMIGD29Mx5,uolesporte,catar,
187,As casas da Copa! Como é o maior estádio do Qatar que vai receber a estreia do Brasil no Mundial   #ESPNnoQatar #FutebolNaESPN   https://t.co/l0IKQl4XNG,espnbrasil,qatar,
